iter	RMSE
222	0.1522856282
223	0.152272363
224	0.1522519017
225	0.1522348228
226	0.1522214763
227	0.1522084937
228	0.1521996225
229	0.1521850977
230	0.1521761751
231	0.1521544254
232	0.1521448054
233	0.1521294804
234	0.1521123472
235	0.1521034158
236	0.1520948746
237	0.1520833773
238	0.1520690804
239	0.1520673513
240	0.1520552683
241	0.1520371978
242	0.1520100261
243	0.1519961633
244	0.1519923165
245	0.1519797335
246	0.1519690079
247	0.1519579635
248	0.1519493812
249	0.1519377624
250	0.1519265221
251	0.151906267
252	0.15189552
253	0.1518796682
254	0.1518684607
255	0.1518621309
256	0.1518563742
257	0.1518516026
258	0.1518357579
259	0.1518217007
260	0.1518162726
261	0.1517961867
262	0.1517861175
263	0.151775637
264	0.1517656916
265	0.1517569948
266	0.1517473586
267	0.1517428492
268	0.1517347177
269	0.1517276425
270	0.1517215408
271	0.1517056714
272	0.1516949193
273	0.1516817976
274	0.151673051
275	0.1516592907
276	0.1516511041
277	0.1516374865
278	0.1516297079
279	0.1516212807
280	0.151617874
281	0.1516143172
282	0.1516047807
283	0.1515950606
284	0.1515859216
285	0.1515734307
286	0.1515591857
287	0.1515413204
288	0.1515259683
289	0.151521282
290	0.1515180599
291	0.1515075575
292	0.1514966278
293	0.1514844717
294	0.1514767523
295	0.1514668972
296	0.1514615517
297	0.1514461388
298	0.1514363167
299	0.151424274
300	0.1514134434
301	0.1514057126
302	0.1513935128
303	0.1513828952
304	0.1513711528
305	0.1513603665
306	0.1513479321
307	0.151339735
308	0.1513323146
309	0.151318948
310	0.1513069807
311	0.1513028289
312	0.1512990668
313	0.1512894741
314	0.1512884764
315	0.1512779835
316	0.1512724965
317	0.151270904
318	0.1512601632
319	0.1512455816
320	0.151240169
321	0.1512293996
322	0.1512157543
323	0.15120674
324	0.1512038456
325	0.1512010247
326	0.1511952981
327	0.1511911849
328	0.1511754584
329	0.1511691077
330	0.1511612988
331	0.1511561197
332	0.151145979
333	0.1511335899
334	0.1511260049
335	0.1511116637
336	0.1511018927
337	0.1510964889
338	0.1510940534
339	0.1510826526
340	0.1510785933
341	0.1510705867
342	0.1510592734
343	0.1510511104
344	0.1510465926
345	0.151032767
346	0.1510224284
347	0.1510203039
348	0.151009248
349	0.1510049139
350	0.1510006283
351	0.1509964764
352	0.1509859192
353	0.1509831488
354	0.1509705659
355	0.1509569298
356	0.1509538716
357	0.1509434562
358	0.1509390422
359	0.1509349204
360	0.1509257618
361	0.150924889
362	0.1509223397
363	0.1509176329
364	0.1509144604
365	0.1509025858
366	0.1508898815
367	0.150883766
368	0.1508771931
369	0.1508736773
370	0.150865952
371	0.1508656615
372	0.1508599153
373	0.1508591191
374	0.1508538898
375	0.1508426364
376	0.1508401371
377	0.1508286515
378	0.1508263066
379	0.1508255816
380	0.1508121106
381	0.1508000269
382	0.1507945516
383	0.1507899699
384	0.1507850784
385	0.1507792025
386	0.1507749867
387	0.1507722024
388	0.1507688559
389	0.1507583875
390	0.1507468246
391	0.1507457998
392	0.1507423633
393	0.1507386328
394	0.1507323497
395	0.150717644
396	0.1507043198
397	0.1506955735
398	0.1506909062
399	0.1506825364
400	0.150668041
401	0.1506644181
402	0.1506567071
403	0.1506525963
404	0.1506486797
405	0.1506429265
406	0.1506272017
407	0.1506195271
408	0.1506182105
409	0.1506175914
410	0.1506062616
411	0.1505966553
412	0.1505912316
413	0.1505906333
414	0.1505900794
415	0.1505876762
416	0.1505753723
417	0.150564324
418	0.1505632421
419	0.1505498558
420	0.1505422744
421	0.1505348324
422	0.1505242516
423	0.1505242211
424	0.1505153705
425	0.1505141634
426	0.1505086669
427	0.150495434
428	0.1504842531
429	0.1504781757
430	0.1504734662
431	0.1504669244
432	0.1504609115
433	0.1504608859
434	0.1504519387
435	0.1504468467
436	0.1504463932
437	0.1504428893
438	0.1504328666
439	0.1504268965
440	0.1504268573
441	0.1504233173
442	0.1504167892
443	0.1504122871
444	0.1504054129
445	0.1503944665
446	0.1503823985
447	0.1503715361
448	0.1503691368
449	0.1503644863
450	0.1503574739
451	0.1503416412
452	0.1503416234
453	0.1503333317
454	0.1503119757
455	0.1503063759
456	0.1503022476
457	0.1503018606
458	0.1502990481
459	0.1502936626
460	0.1502889494
461	0.150281186
462	0.1502800908
463	0.1502797508
464	0.1502776056
465	0.1502769538
466	0.1502731476
467	0.1502731336
468	0.1502728113
469	0.1502727981
470	0.1502668821
471	0.1502617514
472	0.1502608335
473	0.1502581464
474	0.150258119
475	0.1502388065
476	0.1502384993
477	0.150227353
478	0.1502173827
479	0.150217094
480	0.150216093
481	0.1502158332
482	0.1502061929
483	0.1501963092
484	0.150189156
485	0.1501891044
486	0.1501858847
487	0.1501796606
488	0.1501748221
489	0.150174716
490	0.1501702602
491	0.1501582171
492	0.1501467755
493	0.1501465244
494	0.1501393183
495	0.1501390672
496	0.1501269947
497	0.1501267692
498	0.1501215282
499	0.1501101276
500	0.1501005875
501	0.1500975396
502	0.150086432
503	0.1500845453
504	0.1500807897
505	0.1500807713
506	0.150079587
507	0.1500795824
508	0.1500779086
509	0.1500765852
510	0.1500727557
511	0.1500720949
512	0.1500718924
513	0.1500646641
514	0.150062595
515	0.1500596604
516	0.1500547367
517	0.1500521741
518	0.1500521647
519	0.1500436443
520	0.1500436392
521	0.1500391032
522	0.1500322146
523	0.1500297372
524	0.1500279119
525	0.1500190853
526	0.1500174775
527	0.1500162179
528	0.1500160146
529	0.1500101858
530	0.1499957662
531	0.1499931438
532	0.149991561
533	0.1499913805
534	0.1499788238
535	0.1499786527
536	0.1499669494
537	0.1499667779
538	0.1499601358
539	0.1499529666
540	0.1499450977
541	0.1499435486
542	0.1499410744
543	0.1499347136
544	0.1499301367
545	0.1499180579
546	0.1499178957
547	0.1499163804
548	0.1499087235
549	0.1498972181
550	0.1498941615
551	0.1498794707
552	0.1498794604
553	0.1498729377
554	0.1498729271
555	0.1498636206
556	0.1498621372
557	0.1498609704
558	0.1498588803
559	0.1498529066
560	0.1498514536
