iter	Passed	Remaining
410	3666	14176
411	3676	14171
412	3685	14160
413	3689	14136
414	3692	14103
415	3702	14096
416	3709	14082
417	3719	14078
418	3725	14056
419	3734	14049
420	3742	14035
421	3750	14025
422	3759	14016
423	3764	13993
424	3772	13981
425	3780	13967
426	3788	13957
427	3796	13945
428	3804	13932
429	3811	13916
430	3820	13909
431	3829	13900
432	3838	13889
433	3840	13858
434	3849	13850
435	3859	13845
436	3863	13817
437	3872	13808
438	3880	13797
439	3886	13778
440	3889	13750
441	3896	13734
442	3903	13720
443	3911	13708
444	3918	13693
445	3928	13686
446	3936	13676
447	3945	13666
448	3955	13664
449	3963	13651
450	3970	13637
451	3977	13623
452	3980	13592
453	3987	13579
454	3996	13569
455	4003	13557
456	4010	13541
457	4018	13528
458	4026	13517
459	4033	13501
460	4041	13492
461	4048	13477
462	4051	13448
463	4053	13418
464	4062	13409
465	4071	13401
466	4077	13385
467	4080	13357
468	4082	13326
469	4084	13297
470	4091	13282
471	4099	13272
472	4106	13257
473	4114	13245
474	4121	13232
475	4129	13221
476	4133	13197
477	4142	13189
478	4151	13183
479	4154	13156
480	4157	13129
481	4160	13103
482	4167	13088
483	4173	13071
484	4183	13066
485	4189	13051
486	4201	13053
487	4211	13047
488	4219	13037
489	4226	13023
490	4234	13013
491	4243	13007
492	4251	12995
493	4254	12970
494	4262	12959
495	4265	12934
496	4275	12931
497	4279	12905
498	4288	12899
499	4297	12892
500	4307	12888
501	4319	12888
502	4328	12882
503	4335	12867
504	4343	12859
505	4350	12846
506	4358	12835
507	4363	12815
508	4367	12794
509	4377	12789
510	4386	12782
511	4394	12770
512	4400	12754
513	4412	12756
514	4420	12747
515	4433	12750
516	4443	12745
517	4453	12742
518	4461	12731
519	4473	12732
520	4479	12715
521	4487	12705
522	4498	12704
523	4507	12696
524	4514	12682
525	4524	12677
526	4529	12661
527	4540	12659
528	4546	12642
529	4557	12639
530	4568	12637
531	4578	12633
532	4588	12628
533	4594	12612
534	4603	12606
535	4607	12584
536	4613	12568
537	4617	12547
538	4627	12542
539	4637	12537
540	4647	12533
541	4653	12517
542	4664	12516
543	4673	12509
544	4682	12501
545	4691	12494
546	4695	12473
547	4702	12460
548	4712	12455
549	4722	12450
550	4731	12444
551	4741	12437
552	4749	12427
553	4758	12421
554	4765	12406
555	4775	12402
556	4781	12387
557	4791	12381
558	4796	12363
559	4805	12357
560	4809	12336
